Cond,Soil,Temp,Soil,Prerinse,Step,
41707.0,0.4007523148148148,???,???,???,???,???,E3/10,C3/30,G3*100,
41707.0,0.5022337962962963,0.0,0.01,3.0,60.9,1.0,E140/10,C140/30,G140*100,
41707.0,0.502974537037037,0.0,0.01,5.0,60.1,1.0,E141/10,C141/30,G141*100,
41707.0,0.5037152777777778,0.0,0.01,51.0,61.6,1.0,E142/10,C142/30,G142*100,
41707.0,0.5044560185185185,0.0,0.01,4.0,63.9,1.0,E143/10,C143/30,G143*100,
41707.0,0.5051967592592593,0.0,0.01,3.0,64.2,1.0,E144/10,C144/30,G144*100,
41707.0,0.5059375,0.0,0.01,3.0,65.1,1.0,E145/10,C145/30,G145*100,
41707.0,0.5066782407407407,0.0,0.01,3.0,65.7,1.0,E146/10,C146/30,G146*100,
41707.0,0.5074189814814815,0.0,0.01,3.0,65.1,1.0,E147/10,C147/30,G147*100,
41707.0,0.5081597222222222,0.0,0.01,3.0,64.8,1.0,E148/10,C148/30,G148*100,
41707.0,0.508900462962963,0.0,0.01,3.0,64.6,1.0,E149/10,C149/30,G149*100,
41707.0,0.5096412037037037,0.0,0.01,3.0,65.0,1.0,E150/10,C150/30,G150*100,
41707.0,0.5103819444444445,0.0,0.01,3.0,65.3,1.0,E151/10,C151/30,G151*100,
41707.0,0.5111226851851852,0.0,0.01,3.0,65.3,1.0,E152/10,C152/30,G152*100,
41707.0,0.5118634259259259,0.0,0.01,3.0,65.5,1.0,E153/10,C153/30,G153*100,
41707.0,0.5126041666666666,0.0,0.01,3.0,65.4,1.0,E154/10,C154/30,G154*100,
41707.0,0.5133449074074073,0.0,0.01,3.0,64.8,1.0,E155/10,C155/30,G155*100,
41707.0,0.5140856481481482,0.0,0.06,3.0,64.6,1.0,E156/10,C156/30,G156*100,
41707.0,0.5148263888888889,0.0,0.18,2.0,65.3,1.0,E157/10,C157/30,G157*100,
41707.0,0.5155671296296297,0.0,0.33,2.0,66.2,1.0,E158/10,C158/30,G158*100,
41707.0,0.5163078703703704,0.0,0.46,2.0,66.5,1.0,E159/10,C159/30,G159*100,
41707.0,0.5170486111111111,0.0,0.5,2.0,67.3,1.0,E160/10,C160/30,G160*100,
41707.0,0.5177893518518518,0.0,0.46,2.0,67.2,1.0,E161/10,C161/30,G161*100,
41707.0,0.5185300925925925,0.0,0.42,2.0,66.7,1.0,E162/10,C162/30,G162*100,
41707.0,0.5192708333333333,0.0,0.37,2.0,66.0,1.0,E163/10,C163/30,G163*100,
41707.0,0.5200115740740741,0.0,0.36,3.0,65.4,1.0,E164/10,C164/30,G164*100,
41707.0,0.5207523148148149,0.0,0.37,2.0,64.9,1.0,E165/10,C165/30,G165*100,
41707.0,0.5214930555555556,0.0,0.38,3.0,65.0,1.0,E166/10,C166/30,G166*100,
41707.0,0.5222337962962963,0.0,0.38,3.0,65.2,1.0,E167/10,C167/30,G167*100,
41707.0,0.522974537037037,0.0,0.41,2.0,65.3,1.0,E168/10,C168/30,G168*100,
41707.0,0.5237152777777777,0.0,0.41,3.0,65.3,1.0,E169/10,C169/30,G169*100,
41707.0,0.5244560185185185,0.0,0.42,2.0,65.4,1.0,E170/10,C170/30,G170*100,
41707.0,0.5251967592592592,0.0,0.4,2.0,65.7,1.0,E171/10,C171/30,G171*100,
41707.0,0.5259375,0.0,0.37,3.0,65.8,1.0,E172/10,C172/30,G172*100,
41707.0,0.5266782407407408,0.0,0.37,3.0,66.1,1.0,E173/10,C173/30,G173*100,
41707.0,0.5274189814814815,0.0,0.36,2.0,66.1,1.0,E174/10,C174/30,G174*100,
41707.0,0.5281597222222222,0.0,0.35,2.0,66.1,1.0,E175/10,C175/30,G175*100,
41707.0,0.5289004629629629,0.0,0.34,2.0,65.8,1.0,E176/10,C176/30,G176*100,
